t_wall_iso,t_elapsed_s,frame_ag_two,cumulativeRewardAgent,cumulativeRewardAverage_two,epsilon_two,hits_counter,episodes
2025-11-18T10:54:46,158.448,27531,-0.9411953116293003,-0.9029972601677279,0.9727453,0,127
2025-11-18T10:54:47,159.083,27662,-0.9163234853631809,-0.9028989178449162,0.97261561,0,128
2025-11-18T10:54:52,163.926,28833,-0.7064198787694032,-0.9006006336586778,0.97145632,2,129
2025-11-18T10:54:52,164.459,28964,-0.9336765146368191,-0.9008501038010382,0.97132663,0,130
2025-11-18T10:54:57,169.112,29094,-0.9162482973932561,-0.9008982241017901,0.97119793,0,131
2025-11-18T10:54:58,169.685,29225,-0.9411953116293003,-0.9033963543702387,0.97106824,0,132
2025-11-18T10:54:58,170.223,29356,-0.9437670943857372,-0.9045233060445333,0.97093855,0,133
2025-11-18T10:54:59,170.743,29487,-0.9061731094233313,-0.9046963922931505,0.97080886,0,134
2025-11-18T10:54:59,171.269,29618,-0.9061731094233313,-0.904346170271091,0.97067917,0,135
2025-11-18T10:55:04,175.874,29748,-0.9136919064158124,-0.9040711362189561,0.97055047,0,136
2025-11-18T10:55:04,176.405,29879,-0.9186389206518567,-0.904143162752294,0.97042078,0,137
2025-11-18T10:55:05,176.954,30010,-0.8911201236593754,-0.904015189285632,0.97029109,0,138
2025-11-18T10:55:05,177.475,30141,-0.9264738613030306,-0.9041918810149554,0.9701614,0,139
2025-11-18T10:55:06,177.992,30272,-0.9362482973932561,-0.9056692086290998,0.97003171,0,140
2025-11-18T10:55:11,182.702,30402,-0.9362482973932561,-0.9057443965990248,0.96990301,0,141
2025-11-18T10:55:11,183.246,30533,-0.9239020785465936,-0.9058464983203325,0.96977332,0,142
2025-11-18T10:55:12,183.8,30664,-0.9061731094233313,-0.906742256954805,0.96964363,0,143
2025-11-18T10:55:12,184.412,30795,-0.9136919064158124,-0.9067422569548049,0.96951394,0,144
2025-11-18T10:55:13,184.995,30926,-0.9362482973932561,-0.9066927868124444,0.96938425,0,145
2025-11-18T10:55:18,189.648,31056,-0.8989550643105493,-0.9064927868124444,0.96925555,0,146
2025-11-18T10:55:18,190.197,31187,-0.9212107034082937,-0.9063681287001593,0.96912586,0,147
2025-11-18T10:55:19,190.731,31318,-0.9362482973932561,-0.906518504640009,0.96899617,0,148
2025-11-18T10:55:19,191.25,31449,-0.9437670943857372,-0.9067936926099338,0.96886648,0,149
2025-11-18T10:55:20,191.809,31580,-0.9013456875691499,-0.9075189866070401,0.96873679,0,150
2025-11-18T10:55:24,196.431,31710,-0.9362482973932561,-0.9074695164646797,0.96860809,0,151
2025-11-18T10:55:25,197.15,31841,-0.9013456875691499,-0.9074708663062883,0.9684784,0,152
2025-11-18T10:55:26,197.741,31972,-0.9437670943857372,-0.9077189866070401,0.96834871,0,153
2025-11-18T10:55:26,198.283,32103,-0.9061577176443378,-0.9074437986371153,0.96821902,0,154
2025-11-18T10:55:29,201.388,32754,-0.8313340880813296,-0.9067211262512598,0.96757453,1,155
2025-11-18T10:55:34,206.016,32884,-0.9362482973932561,-0.9066459382813349,0.96744583,0,156
2025-11-18T10:55:37,208.849,33535,-0.788777697103886,-0.9065733719226609,0.96680134,1,157
2025-11-18T10:55:37,209.399,33666,-0.9111201236593754,-0.9075216082182908,0.96667165,0,158
2025-11-18T10:55:38,209.93,33797,-0.9336765146368191,-0.9074207024208016,0.96654196,0,159
2025-11-18T10:55:38,210.485,33928,-0.9362482973932561,-0.9079703264809521,0.96641227,0,160
2025-11-18T10:55:43,215.098,34058,-0.9211953116293002,-0.9077671650443652,0.96628357,0,161
2025-11-18T10:55:44,215.631,34189,-0.9336765146368191,-0.9080416011345908,0.96615388,0,162
2025-11-18T10:55:44,216.217,34320,-0.9186389206518567,-0.9080910712769511,0.96602419,0,163
2025-11-18T10:55:45,216.943,34451,-0.9261577176443379,-0.9080158833070263,0.9658945,0,164
2025-11-18T10:55:45,217.506,34582,-0.9287295004007748,-0.9082151314273271,0.96576481,0,165
2025-11-18T10:55:50,222.104,34712,-0.9362482973932561,-0.9085641575255682,0.96563611,0,166
2025-11-18T10:55:53,224.718,35363,-0.8110719269562644,-0.9077373597690633,0.96499162,1,167
2025-11-18T10:55:53,225.248,35494,-0.9264738613030306,-0.907815709175575,0.96486193,0,168
2025-11-18T10:55:54,225.795,35625,-0.9061731094233313,-0.9077662390332145,0.96473224,0,169
2025-11-18T10:55:54,226.382,35756,-0.9036013266668943,-0.9075149572958756,0.96460255,0,170
2025-11-18T10:55:59,230.99,35886,-0.9186389206518567,-0.9074397693259507,0.96447385,0,171
2025-11-18T10:56:02,233.621,36537,-0.8012974908660389,-0.9062406372005282,0.96382936,1,172
2025-11-18T10:56:02,234.154,36668,-0.9013456875691499,-0.9060908592225878,0.96369967,0,173
2025-11-18T10:56:03,234.675,36799,-0.9062329056142627,-0.9059410812446476,0.96356998,0,174
2025-11-18T10:56:05,237.45,37450,-0.8188528850738108,-0.9048919391515281,0.9629254899999999,1,175
2025-11-18T10:56:10,242.035,37580,-0.9136919064158124,-0.9045911872718289,0.96279679,0,176
2025-11-18T10:56:13,244.755,38231,-0.826371682066292,-0.9035933269160483,0.9621523,1,177
2025-11-18T10:56:13,245.301,38362,-0.9362482973932561,-0.9036942327135377,0.96202261,0,178
2025-11-18T10:56:14,245.862,38493,-0.9137517026067439,-0.903494984593237,0.96189292,0,179
2025-11-18T10:56:14,246.535,38624,-0.9013456875691499,-0.9056171750120615,0.96176323,0,180
2025-11-18T10:56:19,251.137,38754,-0.9186389206518567,-0.9055162692145723,0.96163453,0,181
2025-11-18T10:56:20,251.683,38885,-0.9336765146368191,-0.9059161152967823,0.96150484,0,182
2025-11-18T10:56:20,252.214,39016,-0.9012107034082937,-0.906614881450052,0.96137515,0,183
2025-11-18T10:56:21,252.816,39147,-0.9437670943857372,-0.9068661631873907,0.96124546,0,184
2025-11-18T10:56:21,253.346,39278,-0.9036013266668943,-0.906715787247541,0.96111577,0,185
2025-11-18T10:56:26,258.107,39408,-0.9062329056142627,-0.9065404453598263,0.96098707,0,186
2025-11-18T10:56:27,258.681,39539,-0.9239020785465936,-0.906442700998924,0.96085738,0,187
2025-11-18T10:56:27,259.24,39670,-0.9012858913782185,-0.9061419491192246,0.96072769,0,188
2025-11-18T10:56:30,262.07,40321,-0.826371682066292,-0.9074166551221186,0.9600832,1,189
2025-11-18T10:56:31,262.612,40452,-0.9012858913782185,-0.9073183127993069,0.95995351,0,190
2025-11-18T10:56:35,267.3,40582,-0.9362482973932561,-0.9072431248293822,0.95982481,0,191
2025-11-18T10:56:36,267.867,40713,-0.9437670943857372,-0.9076447825065707,0.95969512,0,192
2025-11-18T10:56:36,268.492,40844,-0.9287295004007748,-0.9077426807852628,0.95956543,0,193
2025-11-18T10:56:37,269.109,40975,-0.9437670943857372,-0.9079682446950372,0.95943574,0,194
2025-11-18T10:56:38,269.75,41106,-0.8813456875691499,-0.9075201243942853,0.95930605,0,195
2025-11-18T10:56:42,274.38,41236,-0.9212107034082937,-0.9075953123642101,0.95917735,0,196
2025-11-18T10:56:43,274.96,41367,-0.9314208755390747,-0.9076222261155931,0.95904766,0,197
2025-11-18T10:56:43,275.506,41498,-0.9362482973932561,-0.9087988018500383,0.95891797,0,198
2025-11-18T10:56:46,278.176,42149,-0.7809967389863396,-0.9073214742358939,0.95827348,1,199
2025-11-18T10:56:47,278.742,42280,-0.9287295004007748,-0.9071968161236087,0.95814379,0,200
2025-11-18T10:56:51,283.343,42410,-0.9339926582955117,-0.907124789590271,0.95801509,0,201
2025-11-18T10:56:52,283.911,42541,-0.9336765146368191,-0.907124789590271,0.9578854,0,202
2025-11-18T10:56:52,284.448,42672,-0.9212107034082937,-0.9069744136504214,0.95775571,0,203
2025-11-18T10:56:53,284.975,42803,-0.9036013266668943,-0.9068208762739848,0.95762602,0,204
2025-11-18T10:56:53,285.511,42934,-0.9136919064158124,-0.9069939625226016,0.95749633,0,205
2025-11-18T10:56:58,290.168,43064,-0.8861731094233313,-0.9067413309436542,0.95736763,0,206
2025-11-18T10:56:59,290.709,43195,-0.9313610793481433,-0.9070157670338798,0.95723794,0,207
2025-11-18T10:56:59,291.245,43326,-0.9437670943857372,-0.9070157670338798,0.95710825,0,208
2025-11-18T10:57:00,291.767,43457,-0.9264738613030306,-0.9072413309436542,0.95697856,0,209
2025-11-18T10:57:00,292.294,43588,-0.9013456875691499,-0.908144068549783,0.95684887,0,210
2025-11-18T10:57:05,297.048,43718,-0.9136919064158124,-0.9079442224675731,0.95672017,0,211
2025-11-18T10:57:08,299.677,44369,-0.7809967389863396,-0.9066924587632031,0.95607568,1,212
2025-11-18T10:57:08,300.244,44500,-0.9437670943857372,-0.9080919767961722,0.95594599,0,213
2025-11-18T10:57:11,302.879,45151,-0.826371682066292,-0.9072939625226017,0.9553015,1,214
2025-11-18T10:57:11,303.399,45282,-0.9136919064158124,-0.9069932106429026,0.95517181,0,215
2025-11-18T10:57:16,307.997,45412,-0.9437670943857372,-0.9071693044103165,0.95504311,0,216
2025-11-18T10:57:16,308.527,45543,-0.9061731094233313,-0.907191860801294,0.95491342,0,217
2025-11-18T10:57:17,309.051,45674,-0.9261577176443379,-0.9071166728313692,0.9547837299999999,0,218
2025-11-18T10:57:17,309.588,45805,-0.9111201236593754,-0.9068911089215947,0.95465404,0,219
2025-11-18T10:57:20,312.199,46456,-0.788777697103886,-0.9056421207462653,0.95400955,1,220
2025-11-18T10:57:25,316.811,46586,-0.9362482973932561,-0.905792496686115,0.95388085,0,221
2025-11-18T10:57:25,317.367,46717,-0.9287295004007748,-0.90676907242056,0.95375116,0,222
2025-11-18T10:57:26,317.89,46848,-0.9336765146368191,-0.9072441064726949,0.95362147,0,223
2025-11-18T10:57:29,320.748,47499,-0.8113340880813296,-0.90622052828935,0.95297698,1,224
2025-11-18T10:57:29,321.32,47630,-0.9136919064158124,-0.9059197764096507,0.95284729,0,225
2025-11-18T10:57:34,325.943,47760,-0.9212107034082937,-0.905769400469801,0.95271859,0,226
2025-11-18T10:57:34,326.471,47891,-0.9137517026067439,-0.9054949643795754,0.9525889,0,227
2025-11-18T10:57:35,327.002,48022,-0.8936919064158124,-0.9052686485901017,0.95245921,0,228
2025-11-18T10:57:38,329.629,48673,-0.8235531299637832,-0.9064399811020455,0.95181472,1,229
2025-11-18T10:57:38,330.161,48804,-0.9287295004007748,-0.9063905109596851,0.95168503,0,230
2025-11-18T10:57:43,334.983,48934,-0.9362482973932561,-0.9065905109596851,0.95155633,0,231
2025-11-18T10:57:43,335.574,49065,-0.9139926582955117,-0.9063184844263472,0.95142664,0,232
2025-11-18T10:57:44,336.158,49196,-0.9136919064158124,-0.906017732546648,0.95129695,0,233
2025-11-18T10:57:45,336.746,49327,-0.9437670943857372,-0.906393672396272,0.95116726,0,234
